   Compiling localmotive v0.6.0 (C:\Users\Mubarak\Documents\Projects\localmotive\src-tauri)
    Finished `test` profile [unoptimized + debuginfo] target(s) in 11.37s
     Running unittests src\lib.rs (target\debug\deps\localmotive_lib-694be1a6828a4ecd.exe)

running 617 tests
test artifact::tests::artifact_byte_totals_reject_overflow ... ok
test artifact::tests::s02_split_verdict_agrees_or_reports_mismatch_and_unknown ... ok
test calibration::tests::mt07_effective_arguments_are_sanitized_of_secrets_and_paths ... ok
test artifact::tests::parses_a_unicode_single_file_name_without_byte_slicing ... ok
test artifact::tests::parses_standard_shard_identity ... ok
test artifact::tests::reports_duplicate_shard_indices ... ok
test calibration::tests::s14_sanitizer_covers_every_path_bearing_flag_with_canaries ... ok
test artifact::tests::reports_a_gap_instead_of_counting_files_as_complete ... ok
test catalog::tests::a_masked_token_cannot_be_reconstructed ... ok
test catalog::tests::bounded_catalog_reader_rejects_limit_plus_one ... ok
test catalog::tests::catalog_query_limits_reject_oversize_text_filters_and_model_lists ... ok
test calibration::tests::mt07_unknown_identity_blocks_reuse_and_legacy_keys_stay_out ... ok
test calibration::tests::workload_digest_changes_when_a_material_workload_input_changes ... ok
test calibration::tests::model_set_digest_changes_when_a_selected_companion_changes ... ok
test calibration::tests::mt07_cpu_only_and_hardware_changes_are_distinguished ... ok
test catalog::tests::dc09_quant_facets_dedupe_case_insensitively_and_keep_canonical_casing ... ok
test catalog::tests::authorization_uses_the_current_validated_catalog_not_only_the_bundled_copy ... ok
test catalog::tests::dc10_freshness_policy_prefers_accept_only_for_fresh_non_replayed_documents ... ok
test catalog::tests::download_targets_cannot_escape_the_model_folder ... ok
test catalog::tests::every_authorized_download_has_a_cryptographic_digest ... ok
test catalog::tests::facets_are_sorted_and_deduplicated ... ok
test calibration::tests::mt07_snapshot_key_changes_for_every_material_field ... ok
test catalog::tests::filter_requires_every_search_term_to_match ... ok
test catalog::tests::filter_applies_rich_author_license_pipeline_and_architecture_constraints ... ok
test catalog::tests::filter_applies_tag_quant_size_and_gated_constraints ... ok
test catalog::tests::filter_sorts_deterministically_on_every_key ... ok
test catalog::tests::gh05_verify_source_overrides_require_the_isolated_verifier_root ... ok
test catalog::tests::hardware_fit_budget_never_combines_dedicated_and_shared ... ok
test catalog::tests::hardware_fit_rule_hides_models_above_a_tunable_budget_fraction ... ok
test catalog::tests::only_one_catalog_refresh_runs_at_a_time ... ok
test catalog::tests::parse_rejects_a_schema_from_the_future ... ok
test catalog::tests::parse_drops_entries_that_could_not_be_downloaded_safely ... ok
test catalog::tests::parse_rejects_duplicate_files_within_a_model ... ok
test catalog::tests::parse_rejects_duplicate_model_ids ... ok
test catalog::tests::parse_rejects_schema_1_without_rich_fields ... ok
test catalog::tests::parse_reports_malformed_json_instead_of_panicking ... ok
test catalog::tests::parse_rejects_target_filename_collisions_across_models ... ok
